2013PN200052,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 10 OF 10,AL07DD0005,57.15758333,-111.6239444,2013-07-23 15:20,WATER,VERTICAL INTEGRATED,2,,92.3,,0.054,,0.83,,39,,0.013,,0.002,,25.2,,0.007,,0.271,,0.007,,0.15,,0.08,,0.9,,0.016,,673,,0.14,,0.141,,5.52,,4.67,,0.454,,1.28,,0.002,L,0.001,,0.875,,0.13,,0.001,,155,,0.007,L,0.005,,,,0.001,,0.271,,0.563,,0.221,,0.5,,377,,0.059,,1.21,,51,,0.047,,0.01,,24,,0.034,,2.24,,0.124,,0.66,,0.648,,1.87,,0.156,,1750,,0.983,,0.917,,5.94,,77.4,,0.429,,3.47,,0.021,L,0.001,,1.9,,0.11,,0.008,,155,,0.018,,0.012,,,,0.002,,0.313,,1.45,,0.968,,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013PN200053,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M5 ABOVE MACKAY RIVER,AL07DD0005,57.15680556,-111.6270528,2013-07-23 15:30,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,104,,0.065,,0.76,,44.4,,0.013,,0.002,,20.9,,0.012,,0.293,,0.012,,0.18,,0.076,,1.09,,0.031,,506,,0.15,,0.162,,5.37,,3.75,,0.59,,1.36,,0.011,L,0.001,,0.946,,0.15,,0.002,,181,,0.008,RANGEH,0.061,,,,0.004,,0.346,,0.593,,0.223,,0.5,,436,,0.076,,1.23,,58.9,,0.049,,0.012,,21,,0.032,,2.52,,0.149,,0.75,,0.738,,2.13,,0.18,,1790,,1.11,,0.998,,5.92,,80,,0.535,,2.57,,0.019,,0.001,,2.1,,0.13,,0.009,,179,,0.02,,0.013,,,,0.002,,0.394,,1.65,,1.12,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013PN200054,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M5 ABOVE MACKAY RIVER,AL07DD0005,57.15680556,-111.6270528,2013-07-23 15:35,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,54.5,,0.065,,0.73,,43.4,,0.011,,0.003,,20.4,,0.008,,0.251,,0.01,,0.12,,0.072,,1.14,,0.021,,451,,0.125,,0.159,,5.08,,3.49,,0.566,,1.33,,0.008,L,0.001,,0.88,,0.15,,0.002,,170,,0.007,L,0.005,,,,0.003,,0.33,,0.432,,0.205,,0.7,,811,,0.082,,1.41,,64.4,,0.07,,0.014,,20.5,,0.035,,2.99,,0.17,,1.25,,0.935,,2.59,,0.287,,2550,,1.33,,1.2,,6.78,,90.9,,0.48,,3.05,,0.04,,0.001,,2.56,,0.15,,0.013,,182,,0.027,,0.017,,,,0.005,,0.411,,2.35,,1.28,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013PN200055,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M5 ABOVE MACKAY RIVER,AL07DD0005,57.15680556,-111.6270528,2013-07-23 15:40,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,202,,0.058,,0.74,,44.6,,0.013,,0.002,,19.8,,0.014,,0.285,,0.013,,0.27,,0.093,,1.17,,0.031,,479,,0.136,,0.164,,5.38,,4.15,,0.585,,1.4,,0.012,L,0.001,,0.955,,0.13,,0.001,,184,,0.009,,0.018,,,,0.004,,0.341,,0.757,,0.218,,1.3,,477,,0.077,,1.3,,58.6,,0.054,,0.013,,19.5,,0.033,,2.56,,0.144,,0.8,,0.765,,2.3,,0.189,,1980,,1.1,,1.04,,5.97,,85,,0.526,,2.64,,0.021,L,0.001,,2.09,,0.15,,0.01,,186,,0.02,,0.017,,,,0.005,,0.391,,1.7,,1.14,,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013PN200056,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 3 OF 10,AL07DD0004,57.12669444,-111.6035278,2013-07-24 12:07,WATER,TRIPLICATE SAMPLE,3.2,,111,,0.071,,0.69,,48.8,,0.011,,0.001,,22,,0.012,,0.236,,0.013,,0.17,,0.091,,1.03,,0.026,,363,,0.117,,0.122,,5.88,,4.18,,0.67,,1.26,,0.009,,0.001,,0.904,,0.15,,0.001,,200,,0.008,,0.02,,,,0.003,,0.41,,0.542,,0.2,,0.5,,577,,0.08,,1.26,,67.5,,0.053,,0.014,,19.6,,0.034,,2.39,,0.163,,0.91,,0.757,,2.23,,0.212,,1910,,1.08,,0.936,,6.96,,80.6,,0.62,,2.82,,0.025,L,0.001,,2.26,,0.17,,0.01,,213,,0.023,,0.006,,,,0.003,,0.47,,1.91,,1.09,,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013PN200057,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 3 OF 10,AL07DD0004,57.12669444,-111.6035278,2013-07-24 12:12,WATER,TRIPLICATE SAMPLE,3.2,,33.7,,0.073,,0.65,,50.2,,0.01,,0.001,,21.2,,0.01,,0.207,,0.008,,0.08,,0.084,,0.99,,0.016,,339,,0.106,,0.115,,5.69,,4.04,,0.651,,1.33,,0.002,L,0.001,,0.858,,0.17,,0.001,,201,,0.007,L,0.005,,,,0.002,,0.407,,0.381,,0.185,,0.4,,534,,0.079,,1.16,,64.9,,0.052,,0.012,,19.7,,0.032,,2.29,,0.16,,0.83,,0.682,,2,,0.204,,1760,,0.999,,0.893,,6.54,,69.5,,0.58,,2.55,,0.026,L,0.001,,2.15,,0.17,,0.01,,199,,0.022,,0.005,,,,0.002,,0.456,,1.71,,1.02,,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013PN200058,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 3 OF 10,AL07DD0004,57.12669444,-111.6035278,2013-07-24 12:17,WATER,TRIPLICATE SAMPLE,3.2,,117,,0.069,,0.7,,49.8,,0.013,,0.001,,20.9,,0.009,,0.232,,0.012,,0.17,,0.094,,1.01,,0.028,,376,,0.12,,0.121,,5.95,,4.32,,0.664,,1.25,,0.017,L,0.001,,0.927,,0.16,,0.002,,206,,0.007,,0.068,,,,0.004,,0.41,,0.566,,0.2,,0.4,,539,,0.077,,1.25,,64.5,,0.054,,0.011,,20.7,,0.033,,2.15,,0.149,,0.81,,0.685,,2.05,,0.196,,1770,,0.952,,0.838,,6.68,,72.6,,0.604,,2.57,,0.022,L,0.001,,2.1,,0.16,,0.009,,212,,0.022,,0.062,,,,0.004,,0.456,,1.76,,0.985,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013PN200059,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 8 OF 10,AL07DD0004,57.12733333,-111.6010556,2013-07-24 14:03,WATER,VERTICAL INTEGRATED,3.4,,102,,0.062,,0.77,,44,,0.012,,0.001,,21.7,,0.01,,0.323,,0.014,,0.16,,0.09,,0.94,,0.038,,583,,0.174,,0.158,,5.83,,4.65,,0.554,,1.34,,0.017,L,0.001,,0.979,,0.14,,0.001,,177,,0.008,,0.007,,,,0.004,,0.335,,0.568,,0.251,,0.4,,563,,0.076,,1.33,,58.1,,0.058,,0.013,,24.5,,0.029,,2.54,,0.159,,0.95,,0.76,,2.14,,0.215,,2210,,1.13,,0.932,,6.65,,82.3,,0.512,,2.67,,0.027,,0.001,,2.3,,0.14,,0.01,,178,,0.022,L,0.005,,,,0.002,,0.388,,2.05,,1.09,,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013PN200060,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 9 OF 10,AL07DD0004,57.12761111,-111.6001389,2013-07-24 14:30,WATER,VERTICAL INTEGRATED,3.4,,120,,0.058,,0.77,,42.3,,0.013,,0.001,,22.3,,0.01,,0.321,,0.013,,0.2,,0.09,,0.95,,0.035,,609,,0.161,,0.157,,5.79,,4.82,,0.541,,1.29,,0.02,L,0.001,,0.968,,0.14,,0.002,,169,,0.007,L,0.005,,,,0.003,,0.321,,0.621,,0.25,,0.4,,618,,0.074,,1.4,,57.2,,0.058,,0.013,,22.4,,0.032,,2.82,,0.168,,1.04,,0.859,,2.2,,0.233,,2410,,1.26,,1.02,,6.73,,91.2,,0.464,,2.9,,0.032,L,0.001,,2.42,,0.16,,0.012,,173,,0.022,,0.019,,,,0.004,,0.372,,2.1,,1.19,,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013PN200061,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M4 ABOVE MUSKEG RIVER,AL07DD0004,57.12697222,-111.6024167,2013-07-24 15:05,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,56.9,,0.063,,0.72,,45.6,,0.011,,0.002,,21.1,,0.011,,0.256,,0.009,,0.11,,0.088,,1.15,,0.019,,461,,0.129,,0.153,,5.63,,4.09,,0.588,,1.28,,0.006,L,0.001,,0.891,,0.14,,0.002,,173,,0.006,,0.007,,,,0.005,,0.356,,0.446,,0.21,,0.5,,530,,0.074,,1.27,,59.1,,0.055,,0.012,,25,,0.032,,2.3,,0.152,,0.88,,0.721,,2.45,,0.199,,1980,,1.02,,0.912,,6.68,,77.8,,0.535,,2.72,,0.027,L,0.001,,2.16,,0.17,,0.009,,185,,0.02,,0.011,,,,0.006,,0.397,,1.85,,1.03,,14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013PN200062,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M4 ABOVE MUSKEG RIVER,AL07DD0004,57.12697222,-111.6024167,2013-07-24 15:10,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,112,,0.064,,0.73,,45.6,,0.012,,0.001,,20.4,,0.013,,0.287,,0.012,,0.18,,0.09,,1.06,,0.032,,498,,0.148,,0.162,,5.82,,4.17,,0.594,,1.27,,0.016,L,0.001,,0.944,,0.14,,0.001,,179,,0.008,,0.059,,,,0.004,,0.361,,0.569,,0.208,,0.5,,487,,0.08,,1.29,,58.8,,0.05,,0.013,,21.9,,0.03,,2.31,,0.149,,0.83,,0.685,,2.24,,0.189,,1900,,1.02,,0.947,,6.3,,74.5,,0.537,,2.55,,0.026,L,0.001,,2.14,,0.16,,0.009,,182,,0.021,,0.04,,,,0.003,,0.406,,1.7,,0.99,,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013PN200063,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M4 ABOVE MUSKEG RIVER,AL07DD0004,57.12697222,-111.6024167,2013-07-24 15:15,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,60.2,,0.062,,0.7,,45.1,,0.011,,0.001,,21.4,,0.01,,0.268,,0.009,,0.12,,0.09,,0.98,,0.022,,464,,0.136,,0.141,,5.64,,4.39,,0.597,,1.26,,0.007,,0.001,,0.884,,0.13,,0.002,,177,,0.007,,0.017,,,,0.003,,0.351,,0.426,,0.22,,0.5,,498,,0.074,,1.27,,59.3,,0.05,,0.012,,21.5,,0.03,,2.4,,0.148,,0.84,,0.718,,2.12,,0.19,,1980,,1.06,,0.89,,6.35,,77.1,,0.51,,2.69,,0.026,L,0.001,,2.12,,0.16,,0.009,,188,,0.021,,0.024,,,,0.003,,0.398,,1.73,,1.02,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013PN200069,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2013-07-25 10:15,WATER,VERTICAL INTEGRATED,4.3,,132,,0.067,,0.83,,49.2,,0.015,,0.003,,26.5,,0.011,,0.284,,0.012,,0.2,,0.115,,1.08,,0.03,,515,,0.143,,0.135,,7.06,,5.53,,0.67,,1.59,,0.016,,0.001,,0.96,,0.16,,0.002,,208,,0.008,L,0.005,,,,0.003,,0.399,,0.68,,0.257,,0.5,,392,,0.078,,1.28,,61.5,,0.046,,0.013,,28.5,,0.031,,2.16,,0.129,,0.68,,0.664,,2.04,,0.155,,1730,,0.938,,0.863,,7.35,,74.2,,0.605,,2.65,,0.021,,0.001,,1.94,,0.16,,0.008,,208,,0.021,L,0.005,,,,0.002,,0.442,,1.57,,0.998,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013PN200070,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 6 OF 10,AL07DD0007,57.31373,-111.67093,2013-07-25 11:20,WATER,VERTICAL INTEGRATED,3,,140,,0.068,,0.86,,45.8,,0.013,,0.002,,25.6,,0.009,,0.335,,0.014,,0.22,,0.1,,1.08,,0.036,,598,,0.169,,0.156,,6.06,,4.92,,0.609,,1.57,,0.024,L,0.001,,0.988,,0.14,,0.001,,189,,0.008,,0.011,,,,0.003,,0.355,,0.706,,0.254,,0.5,,560,,0.073,,1.47,,63.3,,0.061,,0.015,,24.2,,0.035,,3.25,,0.176,,0.95,,0.908,,2.35,,0.225,,2340,,1.4,,1.13,,6.78,,99.8,,0.534,,3.18,,0.029,L,0.001,,2.42,,0.14,,0.012,,195,,0.026,L,0.005,,,,0.003,,0.427,,2.08,,1.39,,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013PN200071,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 10 OF 10,AL07DD0007,57.31395,-111.66737,2013-07-25 12:32,WATER,VERTICAL INTEGRATED,3,,101,,0.065,,0.81,,43.4,,0.014,,0.003,,24.2,,0.011,,0.33,,0.01,,0.17,,0.099,,1.3,,0.028,,609,,0.159,,0.155,,5.99,,4.98,,0.577,,1.49,,0.012,L,0.001,,0.944,,0.15,,0.001,,178,,0.008,L,0.005,,,,0.003,,0.333,,0.597,,0.254,,0.5,,447,,0.07,,1.34,,58,,0.056,,0.014,,25.2,,0.036,,2.63,,0.146,,0.82,,0.771,,2.42,,0.186,,2030,,1.14,,0.955,,6.59,,83.8,,0.532,,2.76,,0.026,L,0.001,,2.17,,0.13,,0.008,,181,,0.023,,0.009,,,,0.003,,0.391,,1.75,,1.14,,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013PN200072,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M7, BELOW ELLS RIVER",AL07DD0007,57.31373,-111.67183,2013-07-25 13:05,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,101,,0.066,,0.72,,46.5,,0.014,,0.002,,23.4,,0.012,,0.302,,0.012,,0.16,,0.094,,1.08,,0.029,,500,,0.164,,0.15,,6.28,,5.02,,0.604,,1.49,,0.011,L,0.001,,0.969,,0.14,,0.001,,186,,0.008,L,0.005,,,,0.003,,0.365,,0.585,,0.245,,0.5,,430,,0.077,,1.34,,60.6,,0.053,,0.021,,23.4,,0.034,,2.52,,0.144,,0.77,,0.738,,2.18,,0.177,,1930,,1.09,,0.976,,6.6,,82.9,,0.57,,2.79,,0.023,,0.001,,2.08,,0.16,,0.009,,194,,0.022,,0.011,,,,0.004,,0.424,,1.67,,1.12,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013PN200073,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M7, BELOW ELLS RIVER",AL07DD0007,57.31373,-111.67183,2013-07-25 13:10,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,118,,0.063,,0.77,,46.1,,0.014,,0.002,,24,,0.01,,0.312,,0.012,,0.2,,0.103,,1.08,,0.031,,553,,0.15,,0.151,,6.14,,4.88,,0.609,,1.5,,0.011,,0.001,,0.974,,0.15,,0.002,,191,,0.007,L,0.005,,,,0.005,,0.366,,0.62,,0.25,,0.7,,411,,0.074,,1.26,,60.1,,0.052,,0.012,,25.1,,0.037,,2.38,,0.139,,0.73,,0.696,,2.14,,0.173,,1850,,1.04,,0.908,,6.55,,79.4,,0.559,,2.71,,0.024,,0.001,,2.05,,0.16,,0.009,,192,,0.022,,0.049,,,,0.003,,0.421,,1.61,,1.05,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013PN200074,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M7, BELOW ELLS RIVER",AL07DD0007,57.31373,-111.67183,2013-07-25 13:15,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,116,,0.068,,0.73,,45.5,,0.015,,0.002,,25.3,,0.014,,0.311,,0.011,,0.18,,0.092,,1.01,,0.031,,503,,0.154,,0.152,,6.16,,4.66,,0.608,,1.47,,0.014,,0.001,,0.956,,0.13,,0.002,,184,,0.008,,0.017,,,,0.002,,0.364,,0.612,,0.245,,0.5,,452,,0.075,,1.29,,61,,0.053,,0.014,,23,,0.038,,2.58,,0.146,,0.79,,0.762,,2.15,,0.186,,1960,,1.11,,0.97,,6.63,,83.4,,0.559,,2.78,,0.024,,0.001,,2.16,,0.15,,0.01,,195,,0.024,,0.021,,,,0.001,,0.429,,1.74,,1.16,,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013PN200075,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 3 OF 10,AL07DD0008,56.83849,-111.41702,2013-08-07 11:34,WATER,VERTICAL INTEGRATED,2.7,,46.1,,0.075,,0.63,,52.2,,0.016,L,0.001,,15.5,,0.012,,0.204,,0.009,,0.09,,0.102,,1.21,,0.019,,218,,0.102,,0.107,,5.78,,2.99,,0.651,,1.64,,0.002,L,0.001,,0.822,,0.16,,0.001,,205,,0.007,L,0.005,,,,0.002,,0.38,,0.376,,0.218,,0.5,,484,,0.085,,1.16,,69.3,,0.058,,0.012,,16.3,,0.04,,2.03,,0.159,,0.74,,0.671,,2.24,,0.178,,1460,,0.907,,0.925,,6.49,,60,,0.601,,2.94,,0.018,L,0.001,,2.04,,0.16,,0.009,,223,,0.023,,0.01,,,,0.001,,0.462,,1.51,,1.04,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013PN200076,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 8 OF 10,AL07DD0008,56.83888,-111.41328,2013-08-07 13:02,WATER,VERTICAL INTEGRATED,2.5,,56.7,,0.062,,0.76,,42.5,,0.017,,0.001,,23.2,,0.009,,0.282,,0.01,,0.12,,0.104,,1,,0.021,,446,,0.146,,0.13,,5.9,,4.51,,0.558,,1.52,,0.008,,0.001,,0.904,,0.13,,0.002,,166,,0.007,L,0.005,,,,0.004,,0.296,,0.431,,0.263,,1.3,,581,,0.083,,1.38,,60.7,,0.057,,0.013,,25.3,,0.029,,2.54,,0.186,,0.93,,0.807,,2.18,,0.216,,2090,,1.14,,0.98,,6.81,,86.1,,0.549,,2.98,,0.026,,0.001,,2.42,,0.14,,0.01,,188,,0.022,,0.019,,,,0.003,,0.377,,1.89,,1.17,,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013PN200077,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 10 OF 10,AL07DD0008,56.83878,-111.41164,2013-08-07 13:49,WATER,VERTICAL INTEGRATED,2.7,,59.2,,0.031,,0.91,,24.4,,0.017,,0.001,,32.9,,0.005,,0.321,,0.006,,0.17,,0.097,,0.59,,0.019,,1020,,0.165,,0.154,,5.84,,6.92,,0.296,,1.12,,0.005,L,0.001,,0.987,,0.1,,0.001,,110,,0.005,L,0.005,,,,0.004,,0.123,,0.574,,0.23,,0.6,,413,,0.044,,1.34,,34.2,,0.05,,0.012,,32.4,,0.02,,2.3,,0.136,,0.77,,0.699,,1.31,,0.18,,2400,,1.02,,0.764,,6.29,,114,,0.278,,2.05,,0.037,L,0.001,,2.23,,0.1,,0.007,,106,,0.016,,0.023,,,,0.003,,0.169,,1.71,,0.918,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013PN200078,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M3, 6.5 KM BELOW WSC GAUGE 07DA001",AL07DD0008,56.8388,-111.41548,2013-08-07 14:00,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,52.8,,0.067,,0.73,,45.2,,0.017,,0.002,,23.2,,0.01,,0.25,,0.009,,0.11,,0.11,,0.95,,0.018,,418,,0.128,,0.125,,5.9,,4.03,,0.574,,1.55,,0.004,L,0.001,,0.89,,0.13,,0.002,,184,,0.007,L,0.005,,,,0.003,,0.321,,0.391,,0.239,,0.6,,524,,0.073,,1.35,,60.9,,0.057,,0.015,,25.2,,0.031,,2.47,,0.178,,0.86,,0.797,,2.09,,0.207,,1880,,1.09,,0.979,,6.57,,85.1,,0.541,,2.92,,0.028,L,0.001,,2.3,,0.14,,0.01,,192,,0.023,,0.011,,,,0.003,,0.392,,1.71,,1.13,,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013PN200079,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M3, 6.5 KM BELOW WSC GAUGE 07DA001",AL07DD0008,56.8388,-111.41548,2013-08-07 14:05,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,59.4,,0.063,,0.68,,45.6,,0.016,,0.002,,23.6,,0.009,,0.255,,0.01,,0.11,,0.103,,0.99,,0.022,,371,,0.126,,0.13,,5.86,,3.96,,0.585,,1.49,,0.006,L,0.001,,0.901,,0.13,,0.002,,176,,0.006,,0.008,,,,0.004,,0.317,,0.405,,0.237,,0.8,,446,,0.08,,1.25,,61,,0.054,,0.015,,24.1,,0.032,,2.07,,0.155,,0.74,,0.668,,2.21,,0.172,,1670,,0.932,,0.882,,6.68,,74.9,,0.588,,2.72,,0.023,L,0.001,,2.18,,0.14,,0.009,,195,,0.021,,0.02,,,,0.003,,0.388,,1.49,,0.98,,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013PN200080,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M3, 6.5 KM BELOW WSC GAUGE 07DA001",AL07DD0008,56.8388,-111.41548,2013-08-07 14:10,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,78.7,,0.068,,0.74,,46.1,,0.017,,0.001,,22.9,,0.009,,0.256,,0.011,,0.16,,0.111,,1.02,,0.024,,437,,0.134,,0.138,,6.01,,4.15,,0.611,,1.57,,0.007,L,0.001,,0.932,,0.14,,0.002,,187,,0.008,,0.007,,,,0.005,,0.328,,0.467,,0.242,,1.1,,487,,0.081,,1.3,,60.6,,0.055,,0.014,,19.7,,0.03,,2.24,,0.171,,0.86,,0.723,,2.15,,0.189,,1970,,0.995,,0.926,,6.55,,78.7,,0.574,,2.91,,0.022,,0.001,,2.21,,0.16,,0.008,,196,,0.02,,0.017,,,,0.002,,0.392,,1.71,,1.05,,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013PN200081,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 1 OF 10,AL07DD0009,57.21513,-111.61512,2013-08-08 9:49,WATER,VERTICAL INTEGRATED,3.6,,54.2,,0.072,,0.76,,43.2,,0.016,,0.001,,26.6,,0.01,,0.308,,,,0.1,,0.127,,1.23,,0.019,,441,,0.15,,0.181,,6.85,,5.19,,0.52,,1.52,,0.002,L,0.001,,0.864,,0.13,,0.002,,180,,0.007,L,0.005,,,L,0.001,,0.329,,0.512,,0.246,,0.4,,700,,0.087,,1.68,,66.5,,0.087,,0.021,,29.1,,0.04,,4.25,,0.241,,1.19,,1.24,,3.74,,0.299,,3120,,1.81,,1.58,,8.3,,122,,0.478,,3.96,,0.022,,0.001,,2.72,,0.15,,0.014,,196,,0.029,,0.012,,,,0.001,,0.449,,2.78,,1.88,,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013PN200082,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 5 OF 10,AL07DD0009,57.21505,-111.6115,2013-08-08 10:55,WATER,VERTICAL INTEGRATED,3,,36.2,,0.07,,0.74,,44.9,,0.016,,0.001,,22.9,,0.01,,0.287,,,,0.09,,0.105,,1.18,,0.017,,396,,0.137,,0.192,,5.65,,4.15,,0.562,,1.5,,0.001,L,0.001,,0.873,,0.12,,0.001,,176,,0.008,L,0.005,,,,0.003,,0.339,,0.449,,0.241,,0.4,,517,,0.084,,1.46,,61.2,,0.067,,0.013,,22.8,,0.031,,3.16,,0.187,,0.88,,0.909,,2.75,,0.225,,2200,,1.38,,1.26,,6.66,,91.1,,0.528,,3.11,,0.021,,0.001,,2.32,,0.13,,0.01,,184,,0.023,,0.008,,,,0.004,,0.405,,2.06,,1.44,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013PN200083,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 9 OF 10,AL07DD0009,57.21523,-111.60808,2013-08-08 12:05,WATER,VERTICAL INTEGRATED,1.2,,39,,0.063,,0.77,,43.1,,0.015,,0.002,,24.7,,0.009,,0.297,,,,0.09,,0.109,,1.22,,0.015,,440,,0.144,,0.18,,5.66,,5.18,,0.514,,1.46,,0.001,L,0.001,,0.875,,0.11,,0.001,,169,,0.006,,0.005,,,L,0.001,,0.315,,0.467,,0.241,,0.4,,537,,0.08,,1.47,,59.9,,0.068,,0.014,,25.6,,0.037,,3.4,,0.2,,0.92,,0.96,,2.88,,0.23,,2340,,1.46,,1.25,,6.71,,95.5,,0.458,,3.2,,0.019,L,0.001,,2.41,,0.15,,0.011,,177,,0.022,,0.017,,,,0.004,,0.39,,2.21,,1.48,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
