2012PN200131,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 2 OF 10,AL07DD0007,57.31337,-111.67458,2012-08-07 10:40,WATER,VERTICAL INTEGRATED,3.44,,,,,,,,,,
2012PN200132,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 3 OF 10,AL07DD0007,57.31335,-111.6735,2012-08-07 10:51,WATER,VERTICAL INTEGRATED,2.94,,,,,,,,,,
2012PN200133,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 4 OF 10,AL07DD0007,57.31365,-111.67278,2012-08-07 11:06,WATER,VERTICAL INTEGRATED,2.57,,,,,,,,,,
2012PN200134,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 5 OF 10,AL07DD0007,57.31373,-111.67183,2012-08-07 11:17,WATER,VERTICAL INTEGRATED,2.81,,,,,,,,,,
2012PN200135,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 6 OF 10,AL07DD0007,57.31373,-111.67093,2012-08-07 11:37,WATER,VERTICAL INTEGRATED,3.22,,16.5,,0.2,,,,,,
2012PN200136,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 7 OF 10,AL07DD0007,57.3138,-111.66997,2012-08-07 12:22,WATER,VERTICAL INTEGRATED,3.4,,,,,,,,,,
2012PN200137,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 8 OF 10,AL07DD0007,57.31392,-111.66925,2012-08-07 12:31,WATER,VERTICAL INTEGRATED,3.16,,,,,,,,,,
2012PN200138,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 9 OF 10,AL07DD0007,57.3139,-111.66835,2012-08-07 12:46,WATER,VERTICAL INTEGRATED,2.72,,,,,,,,,,
2012PN200139,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 10 OF 10,AL07DD0007,57.31395,-111.66737,2012-08-07 12:58,WATER,VERTICAL INTEGRATED,2.76,,14.2,,0.19,,,,,,
2012PN200140,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M7, BELOW ELLS RIVER",AL07DD0007,57.31373,-111.67183,2012-08-07 13:05,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,,,,,,,,,
2012PN200141,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2012-08-08 10:02,WATER,VERTICAL INTEGRATED,0.62,,17.3,,0.24,,,,,,
2012PN200142,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 2 OF 10,AL07DD0008,56.83851,-111.41779,2012-08-08 10:22,WATER,VERTICAL INTEGRATED,2.11,,,,,,,,,,
2012PN200143,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 3 OF 10,AL07DD0008,56.83849,-111.41702,2012-08-08 10:34,WATER,VERTICAL INTEGRATED,2.94,,,,,,,,,,
2012PN200144,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 4 OF 10,AL07DD0008,56.83861,-111.41628,2012-08-08 10:44,WATER,VERTICAL INTEGRATED,2.74,,,,,,,,,,
2012PN200145,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 5 OF 10,AL07DD0008,56.8388,-111.41548,2012-08-08 10:54,WATER,VERTICAL INTEGRATED,3.19,,,,,,,,,,
2012PN200146,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 6 OF 10,AL07DD0008,56.83862,-111.41478,2012-08-08 11:27,WATER,VERTICAL INTEGRATED,3.06,,11.7,,0.23,,,,,,
2012PN200147,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 7 OF 10,AL07DD0008,56.83919,-111.41404,2012-08-08 12:00,WATER,VERTICAL INTEGRATED,3.26,,,,,,,,,,
2012PN200148,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 8 OF 10,AL07DD0008,56.83888,-111.41328,2012-08-08 12:13,WATER,VERTICAL INTEGRATED,3.52,,,,,,,,,,
2012PN200149,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2012-08-08 12:24,WATER,VERTICAL INTEGRATED,3.6,,,,,,,,,,
2012PN200150,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 10 OF 10,AL07DD0008,56.83878,-111.41164,2012-08-08 12:37,WATER,VERTICAL INTEGRATED,3.02,,8.69,,0.18,,,,,,
2012PN200151,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M3, 6.5 KM BELOW WSC GAUGE 07DA001",AL07DD0008,56.8388,-111.41548,2012-08-08 12:54,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,,,,,,,,,
2012PN200152,OIL SANDS LONGTERM WQ MONITORING,M4 LT WQ PANEL 1 OF 10,AL07DD0004,57.12622222,-111.6040278,2012-08-28 11:41,WATER,VERTICAL INTEGRATED,1.05,,,,,,,,,,
2012PN200153,OIL SANDS LONGTERM WQ MONITORING,M4 LT WQ PANEL 2 OF 10,AL07DD0004,57.12633333,-111.6036111,2012-08-28 11:55,WATER,VERTICAL INTEGRATED,0.94,,,,,,,,,,
2012PN200154,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 3 OF 10,AL07DD0004,57.12669444,-111.6035278,2012-08-28 12:25,WATER,VERTICAL INTEGRATED,0.1,,,,,,,,,,
2012PN200155,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 4 OF 10,AL07DD0004,57.12694444,-111.6030833,2012-08-28 12:45,WATER,VERTICAL INTEGRATED,0.27,,,,,,,,,,
2012PN200156,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 5 OF 10,AL07DD0004,57.12697222,-111.6024167,2012-08-28 12:57,WATER,TRIPLICATE SAMPLE,0.7,,4.32,,0.08,,,,,,
2012PN200157,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 6 OF 10,AL07DD0004,57.12708333,-111.6020556,2012-08-28 13:35,WATER,VERTICAL INTEGRATED,1.8,,,,,,,,,,
2012PN200158,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 7 OF 10,AL07DD0004,57.12725,-111.6014722,2012-08-28 13:43,WATER,VERTICAL INTEGRATED,2.49,,,,,,,,,,
2012PN200159,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 8 OF 10,AL07DD0004,57.12733333,-111.6010556,2012-08-28 13:52,WATER,VERTICAL INTEGRATED,4.16,,,,,,,,,,
2012PN200160,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 9 OF 10,AL07DD0004,57.12761111,-111.6001389,2012-08-28 14:05,WATER,VERTICAL INTEGRATED,5.79,,3.94,,0.09,,,,,,
2012PN200161,OIL SANDS LONGTERM WQ MONITORING,M4 LT WQ PANEL 10 OF 10,AL07DD0004,57.12763889,-111.6000278,2012-08-28 14:24,WATER,VERTICAL INTEGRATED,5.16,,3.62,,0.08,,,,,,
2012PN200162,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M4 ABOVE MUSKEG RIVER,AL07DD0004,57.12697222,-111.6024167,2012-08-28 14:29,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,,,,,,,,,
2012PN200163,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 1 OF 10,AL07DD0005,57.15605556,-111.63,2012-08-29 10:53,WATER,VERTICAL INTEGRATED,2.25,,,,,,,,,,
2012PN200164,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 2 OF 10,AL07DD0005,57.15633333,-111.6294167,2012-08-29 11:02,WATER,VERTICAL INTEGRATED,2.5,,,,,,,,,,
2012PN200165,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 3 OF 10,AL07DD0005,57.15655556,-111.6286944,2012-08-29 11:11,WATER,VERTICAL INTEGRATED,2.59,,,,,,,,,,
2012PN200166,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 4 OF 10,AL07DD0005,57.15669444,-111.62825,2012-08-29 11:23,WATER,VERTICAL INTEGRATED,2.97,,,,,,,,,,
2012PN200167,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 5 OF 10,AL07DD0005,57.15680556,-111.6275,2012-08-29 11:35,WATER,VERTICAL INTEGRATED,2.71,,3.57,,0.06,,,,,,
2012PN200168,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 6 OF 10,AL07DD0005,57.15683333,-111.6265278,2012-08-29 12:31,WATER,VERTICAL INTEGRATED,2.71,,,,,,,,,,
2012PN200169,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 7 OF 10,AL07DD0005,57.15686111,-111.6257222,2012-08-29 12:42,WATER,VERTICAL INTEGRATED,2.66,,,,,,,,,,
2012PN200170,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 8 OF 10,AL07DD0005,57.15705556,-111.6250278,2012-08-29 12:52,WATER,VERTICAL INTEGRATED,2.24,,,,,,,,,,
2012PN200171,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 9 OF 10,AL07DD0005,57.15747222,-111.6246944,2012-08-29 13:06,WATER,VERTICAL INTEGRATED,0.97,,2.8,,0.06,,,,,,
2012PN200172,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 10 OF 10,AL07DD0005,57.15758333,-111.6239444,2012-08-29 13:21,WATER,VERTICAL INTEGRATED,2.01,,2.84,,0.09,,,,,,
2012PN200173,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M5 ABOVE MACKAY RIVER,AL07DD0005,57.15680556,-111.6270528,2012-08-29 13:30,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,,,,,,,,,
2012PN200174,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 5 OF 10,AL07DD0004,57.12697222,-111.6024167,2012-07-10 12:47,WATER,TRIPLICATE SAMPLE,,,15.3,,0.18,,,,,,
2012PN200175,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 5 OF 10,AL07DD0004,57.12697222,-111.6024167,2012-07-10 12:52,WATER,TRIPLICATE SAMPLE,,,14.7,,0.19,,,,,,
2012PN200181,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 5 OF 10,AL07DD0004,57.12697222,-111.6024167,2012-08-28 13:02,WATER,TRIPLICATE SAMPLE,,,4.19,,0.09,,,,,,
2012PN200182,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 5 OF 10,AL07DD0004,57.12697222,-111.6024167,2012-08-28 13:07,WATER,TRIPLICATE SAMPLE,,,4.32,,0.1,,,,,,
2012PN200188,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 5 OF 10,AL07DD0004,57.12697222,-111.6024167,2012-10-23 13:36,WATER,VERTICAL INTEGRATED,1.99,,2.29,,0.06,,,,,,
2012PN200189,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 9 OF 10,AL07DD0004,57.12761111,-111.6001389,2012-10-23 14:30,WATER,VERTICAL INTEGRATED,1.08,,2.43,,0.05,,,,,,
2012PN200190,OIL SANDS LONGTERM WQ MONITORING,M4 LT WQ PANEL 10 OF 10,AL07DD0004,57.12763889,-111.6000278,2012-10-23 14:50,WATER,VERTICAL INTEGRATED,4.15,,2.2,,0.06,,,,,,
2012PN200191,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M4 ABOVE MUSKEG RIVER,AL07DD0004,57.12697222,-111.6024167,2012-10-23 15:15,WATER,EQUAL VOLUME TRANSECT COMPOSITE,,,,,,,,,,,
2012PN200192,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 5 OF 10,AL07DD0005,57.15680556,-111.6275,2012-09-26 11:47,WATER,VERTICAL INTEGRATED,203,,3.25,,0.08,,,,,,
2012PN200193,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 9 OF 10,AL07DD0005,57.15747222,-111.6246944,2012-09-26 13:11,WATER,VERTICAL INTEGRATED,0.71,,2.9,,0.11,,,,,,
2012PN200194,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 10 OF 10,AL07DD0005,57.15758333,-111.6239444,2012-09-26 13:38,WATER,VERTICAL INTEGRATED,1.51,,2.97,,0.11,,,,,,
2012PN200195,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M5 ABOVE MACKAY RIVER,AL07DD0005,57.15680556,-111.6270528,2012-09-26 13:57,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,,,,,,,,,
2012PN200196,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2012-09-27 9:51,WATER,VERTICAL INTEGRATED,0.8,,1.5,,0.06,,,,,,
2012PN200197,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 2 OF 10,AL07DD0008,56.83851,-111.41779,2012-09-27 10:18,WATER,VERTICAL INTEGRATED,1.74,,,,,,,,,,
2012PN200198,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 3 OF 10,AL07DD0008,56.83849,-111.41702,2012-09-27 10:33,WATER,VERTICAL INTEGRATED,1.85,,,,,,,,,,
2012PN200199,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 4 OF 10,AL07DD0008,56.83861,-111.41628,2012-09-27 10:48,WATER,VERTICAL INTEGRATED,1.61,,,,,,,,,,
2012PN200200,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 5 OF 10,AL07DD0008,56.8388,-111.41548,2012-09-27 10:59,WATER,VERTICAL INTEGRATED,1.62,,,,,,,,,,
2012PN200201,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 6 OF 10,AL07DD0008,56.83862,-111.41478,2012-09-27 11:09,WATER,VERTICAL INTEGRATED,1.31,,1.85,,0.04,,,,,,
2012PN200202,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 7 OF 10,AL07DD0008,56.83919,-111.41404,2012-09-27 11:46,WATER,VERTICAL INTEGRATED,1.97,,,,,,,,,,
2012PN200203,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 8 OF 10,AL07DD0008,56.83888,-111.41328,2012-09-27 11:58,WATER,VERTICAL INTEGRATED,2.11,,,,,,,,,,
2012PN200204,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2012-09-27 12:09,WATER,VERTICAL INTEGRATED,2.15,,,,,,,,,,
2012PN200205,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 10 OF 10,AL07DD0008,56.83878,-111.41164,2012-09-27 12:23,WATER,VERTICAL INTEGRATED,1.72,,3.14,,0.09,,,,,,
2012PN200206,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M3, 6.5 KM BELOW WSC GAUGE 07DA001",AL07DD0008,56.8388,-111.41548,2012-09-27 12:41,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,,,,,,,,,
2012PN200207,OIL SANDS LONGTERM WQ MONITORING,M2 SHORE SAMPLING LOCATION,AL07DD0002,56.72061111,-111.4058056,2012-09-19 10:20,WATER,REPLICATE SAMPLE,0.93,,,,,,,,,,
2012PN200208,OIL SANDS LONGTERM WQ MONITORING,M2 SHORE SAMPLING LOCATION,AL07DD0002,56.72061111,-111.4058056,2012-09-19 10:21,WATER,REPLICATE SAMPLE,,,,,,,,,,,
2012PN200209,OIL SANDS LONGTERM WQ MONITORING,M2 SHORE SAMPLING LOCATION,AL07DD0002,56.72061111,-111.4058056,2012-09-19 10:22,WATER,REPLICATE SAMPLE,,,,,,,,,,,
2012PN200210,OIL SANDS LONGTERM WQ MONITORING,M2 SHORE SAMPLING LOCATION,AL07DD0002,56.72061111,-111.4058056,2012-09-19 10:23,WATER,REPLICATE SAMPLE,,,,,,,,,,,
2012PN200211,OIL SANDS LONGTERM WQ MONITORING,M2 SHORE SAMPLING LOCATION,AL07DD0002,56.72061111,-111.4058056,2012-09-19 10:24,WATER,REPLICATE SAMPLE,,,,,,,,,,,
2012PN200212,OIL SANDS LONGTERM WQ MONITORING,M2 LT WQ PANEL 2 OF 10,AL07DD0002,56.72038889,-111.4053611,2012-09-19 12:17,WATER,REPLICATE SAMPLE,3.12,,,,,,,,,,
2012PN200213,OIL SANDS LONGTERM WQ MONITORING,M2 LT WQ PANEL 2 OF 10,AL07DD0002,56.72038889,-111.4053611,2012-09-19 12:18,WATER,REPLICATE SAMPLE,,,,,,,,,,,
2012PN200214,OIL SANDS LONGTERM WQ MONITORING,M2 LT WQ PANEL 2 OF 10,AL07DD0002,56.72038889,-111.4053611,2012-09-19 12:19,WATER,REPLICATE SAMPLE,,,,,,,,,,,
2012PN200215,OIL SANDS LONGTERM WQ MONITORING,M2 LT WQ PANEL 2 OF 10,AL07DD0002,56.72038889,-111.4053611,2012-09-19 12:20,WATER,REPLICATE SAMPLE,,,,,,,,,,,
2012PN200216,OIL SANDS LONGTERM WQ MONITORING,M2 LT WQ PANEL 2 OF 10,AL07DD0002,56.72038889,-111.4053611,2012-09-19 12:21,WATER,REPLICATE SAMPLE,,,,,,,,,,,
2012PN200217,OIL SANDS LONGTERM WQ MONITORING,M2 LT WQ PANEL 3 OF 10,AL07DD0002,56.72008333,-111.405,2012-09-19 14:21,WATER,REPLICATE SAMPLE,4.08,,,,,,,,,,
2012PN200218,OIL SANDS LONGTERM WQ MONITORING,M2 LT WQ PANEL 3 OF 10,AL07DD0002,56.72008333,-111.405,2012-09-19 14:22,WATER,REPLICATE SAMPLE,,,,,,,,,,,
2012PN200219,OIL SANDS LONGTERM WQ MONITORING,M2 LT WQ PANEL 3 OF 10,AL07DD0002,56.72008333,-111.405,2012-09-19 14:23,WATER,REPLICATE SAMPLE,,,,,,,,,,,
2012PN200220,OIL SANDS LONGTERM WQ MONITORING,M2 LT WQ PANEL 3 OF 10,AL07DD0002,56.72008333,-111.405,2012-09-19 14:24,WATER,REPLICATE SAMPLE,,,,,,,,,,,
2012PN200221,OIL SANDS LONGTERM WQ MONITORING,M2 LT WQ PANEL 3 OF 10,AL07DD0002,56.72008333,-111.405,2012-09-19 14:25,WATER,REPLICATE SAMPLE,,,,,,,,,,,
2012PN200222,OIL SANDS LONGTERM WQ MONITORING,M2 LT WQ PANEL 7 OF 10,AL07DD0002,56.71897222,-111.4038333,2012-09-19 16:24,WATER,REPLICATE SAMPLE,0.73,,,,,,,,,,
2012PN200223,OIL SANDS LONGTERM WQ MONITORING,M2 LT WQ PANEL 7 OF 10,AL07DD0002,56.71897222,-111.4038333,2012-09-19 16:25,WATER,REPLICATE SAMPLE,,,,,,,,,,,
2012PN200224,OIL SANDS LONGTERM WQ MONITORING,M2 LT WQ PANEL 7 OF 10,AL07DD0002,56.71897222,-111.4038333,2012-09-19 16:26,WATER,REPLICATE SAMPLE,,,,,,,,,,,
2012PN200225,OIL SANDS LONGTERM WQ MONITORING,M2 LT WQ PANEL 7 OF 10,AL07DD0002,56.71897222,-111.4038333,2012-09-19 16:27,WATER,REPLICATE SAMPLE,,,,,,,,,,,
2012PN200226,OIL SANDS LONGTERM WQ MONITORING,M2 LT WQ PANEL 7 OF 10,AL07DD0002,56.71897222,-111.4038333,2012-09-19 16:28,WATER,REPLICATE SAMPLE,,,,,,,,,,,
2012PN200227,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2012-09-19 17:30,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,,,,,,,,,
2012PN200228,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2012-09-19 17:31,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,,,,,,,,,
2012PN200229,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2012-09-19 17:32,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,,,,,,,,,
2012PN200230,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2012-09-19 17:33,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,,,,,,,,,
2012PN200231,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2012-09-19 17:34,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,,,,,,,,,
2012PN200235,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M4 ABOVE MUSKEG RIVER,AL07DD0004,57.12697222,-111.6024167,2012-10-23 15:15,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,,,,,,,,,
2012PN200236,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M4 ABOVE MUSKEG RIVER,AL07DD0004,57.12697222,-111.6024167,2012-10-23 15:17,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,,,,,,,,,
2012PN200238,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 1 OF 10,AL07DD0009,57.21513,-111.61512,2012-10-10 11:55,WATER,TRIPLICATE SAMPLE,2.51,,1.52,,0.05,,,,,,
2012PN200239,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 2 OF 10,AL07DD0009,57.2151,-111.61433,2012-10-10 12:56,WATER,VERTICAL INTEGRATED,2.07,,,,,,,,,,
2012PN200240,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 3 OF 10,AL07DD0009,57.21512,-111.61345,2012-10-10 13:21,WATER,VERTICAL INTEGRATED,1.74,,,,,,,,,,
2012PN200241,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 4 OF 10,AL07DD0009,57.21516,-111.61577,2012-10-10 13:34,WATER,VERTICAL INTEGRATED,1.86,,,,,,,,,,
2012PN200242,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 5 OF 10,AL07DD0009,57.21505,-111.6115,2012-10-10 13:46,WATER,VERTICAL INTEGRATED,1.59,,,,,,,,,,
2012PN200243,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 6 OF 10,AL07DD0009,57.21502,-111.61068,2012-10-10 14:00,WATER,VERTICAL INTEGRATED,1.55,,1.7,,0.05,,,,,,
2012PN200244,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 7 OF 10,AL07DD0009,57.2152,-111.6098,2012-10-10 14:27,WATER,VERTICAL INTEGRATED,1.65,,,,,,,,,,
2012PN200245,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 8 OF 10,AL07DD0009,57.2153,-111.60903,2012-10-10 14:39,WATER,VERTICAL INTEGRATED,1.58,,,,,,,,,,
2012PN200246,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 9 OF 10,AL07DD0009,57.21523,-111.60808,2012-10-10 14:49,WATER,VERTICAL INTEGRATED,2.45,,,,,,,,,,
2012PN200247,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 10 OF 10,AL07DD0009,57.21518,-111.60727,2012-10-10 15:00,WATER,VERTICAL INTEGRATED,1.53,,1.72,,0.05,,,,,,
2012PN200248,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M6, BELOW MACKAY RIVER",AL07DD0009,57.21505,-111.6115,2012-10-10 17:30,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,,,,,,,,,
2012PN200249,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M6, BELOW MACKAY RIVER",AL07DD0009,57.21505,-111.6115,2012-10-10 17:31,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,,,,,,,,,
2012PN200250,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M6, BELOW MACKAY RIVER",AL07DD0009,57.21505,-111.6115,2012-10-10 17:32,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,,,,,,,,,
2012PN200251,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 1 OF 10,AL07DD0009,57.21513,-111.61512,2012-10-10 12:00,WATER,TRIPLICATE SAMPLE,,,1.52,,0.04,,,,,,
2012PN200252,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 1 OF 10,AL07DD0009,57.21513,-111.61512,2012-10-10 12:05,WATER,TRIPLICATE SAMPLE,,,1.52,,0.04,,,,,,
2012PN200256,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2012-10-11 11:46,WATER,VERTICAL INTEGRATED,2.35,,1.76,,0.05,,,,,,
2012PN200257,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 2 OF 10,AL07DD0007,57.31337,-111.67458,2012-10-11 12:28,WATER,VERTICAL INTEGRATED,2.13,,,,,,,,,,
2012PN200258,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 3 OF 10,AL07DD0007,57.31335,-111.6735,2012-10-11 12:38,WATER,VERTICAL INTEGRATED,0.74,,,,,,,,,,
2012PN200259,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 4 OF 10,AL07DD0007,57.31365,-111.67278,2012-10-11 12:54,WATER,VERTICAL INTEGRATED,1.5,,,,,,,,,,
2012PN200260,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 5 OF 10,AL07DD0007,57.31373,-111.67183,2012-10-11 13:11,WATER,VERTICAL INTEGRATED,2.08,,,,,,,,,,
2012PN200261,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 6 OF 10,AL07DD0007,57.31373,-111.67093,2012-10-11 13:24,WATER,VERTICAL INTEGRATED,1.94,,1.77,,0.05,,,,,,
2012PN200262,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 7 OF 10,AL07DD0007,57.3138,-111.66997,2012-10-11 14:40,WATER,VERTICAL INTEGRATED,2.28,,,,,,,,,,
2012PN200263,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 8 OF 10,AL07DD0007,57.31392,-111.66925,2012-10-11 14:51,WATER,VERTICAL INTEGRATED,1.61,,,,,,,,,,
2012PN200264,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 9 OF 10,AL07DD0007,57.3139,-111.66835,2012-10-11 14:59,WATER,VERTICAL INTEGRATED,1.3,,,,,,,,,,
2012PN200265,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 10 OF 10,AL07DD0007,57.31395,-111.66737,2012-10-11 15:10,WATER,VERTICAL INTEGRATED,1.19,,2.5,,0.07,,,,,,
2012PN200266,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M7, BELOW ELLS RIVER",AL07DD0007,57.31373,-111.67183,2012-10-11 17:31,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,,,,,,,,,
2012PN200267,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M7, BELOW ELLS RIVER",AL07DD0007,57.31373,-111.67183,2012-10-11 17:32,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,,,,,,,,,
