2012PN200267,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M7, BELOW ELLS RIVER",AL07DD0007,57.31373,-111.67183,2012-10-11 17:32,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,0,,9.483,,0.401,,0.032,,,,,,,L,0.005,,8.5,,,,0.01,,,,0.296,,,,0.04,,0.008,,15,,17,,0.983,,0.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200268,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M7, BELOW ELLS RIVER",AL07DD0007,57.31373,-111.67183,2012-10-11 17:33,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,0.001,,9.669,,0.403,,0.03,,,,,,,,0.01,,8.7,,,,0.012,,,,0.298,,,,0.038,,0.008,,14,,18,,0.969,,0.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200271,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 5 OF 10,AL07DD0005,57.15680556,-111.6275,2012-10-24 11:43,WATER,VERTICAL INTEGRATED,2.38,,0,,13.907,,0.477,,0.036,,,,,,,L,0.005,,13,,,,0.023,,,,0.384,,,,0.05,,0.014,,21,,24,,0.907,,0.093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200272,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 9 OF 10,AL07DD0005,57.15747222,-111.6246944,2012-10-24 12:31,WATER,VERTICAL INTEGRATED,1.02,,0,,15.732,,0.546,,0.028,,,,,,,,0.007,,14.9,,,,0.021,,,,0.46,,,,0.043,,0.015,,16,,18,,0.832,,0.086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200273,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 10 OF 10,AL07DD0005,57.15758333,-111.6239444,2012-10-24 12:51,WATER,VERTICAL INTEGRATED,2.65,,0,,16.015,,0.514,,0.028,,,,,,,L,0.005,,15.2,,,,0.021,,,,0.432,,,,0.042,,0.014,,14,,18,,0.815,,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200274,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M5 ABOVE MACKAY RIVER,AL07DD0005,57.15680556,-111.6270528,2012-10-24 13:16,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,0,,12.667,,0.464,,0.033,,,,,,,L,0.005,,11.7,,,,0.025,,,,0.367,,,,0.045,,0.012,,16,,20,,0.967,,0.097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200275,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M5 ABOVE MACKAY RIVER,AL07DD0005,57.15680556,-111.6270528,2012-10-24 13:18,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,0,,12.975,,0.458,,0.031,,,,,,,L,0.005,,12,,,,0.024,,,,0.362,,,,0.045,,0.014,,16,,20,,0.975,,0.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200276,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M5 ABOVE MACKAY RIVER,AL07DD0005,57.15680556,-111.6270528,2012-10-24 13:19,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,0.001,,13.001,,0.46,,0.039,,,,,,,,0.011,,12.1,,,,0.024,,,,0.368,,,,0.055,,0.016,,13,,16,,0.901,,0.092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200281,OIL SANDS LONGTERM WQ MONITORING,M4 LT WQ PANEL 1 OF 10,AL07DD0004,57.12622222,-111.6040278,2013-01-22 11:35,WATER,VERTICAL INTEGRATED,0.56,,0,,8.952,,0.629,,0.01,,,,,,,,0.086,,8.7,,,,0.235,,,,0.601,,,,0.036,,0.026,L,10,L,5,,0.252,,0.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200282,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 9 OF 10,AL07DD0004,57.12761111,-111.6001389,2013-01-22 14:53,WATER,VERTICAL INTEGRATED,0.63,,0,,9.027,,0.581,,0.015,,,,,,,,0.087,,8.7,,,,0.182,,,,0.543,,,,0.041,,0.026,L,10,L,5,,0.327,,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200283,OIL SANDS LONGTERM WQ MONITORING,M4 LT WQ PANEL 10 OF 10,AL07DD0004,57.12763889,-111.6000278,2013-01-22 15:35,WATER,VERTICAL INTEGRATED,4.36,,0,,9.17,,0.573,,0.015,,,,,,,,0.07,,8.9,,,,0.18,,,,0.541,,,,0.042,,0.027,L,10,L,5,,0.27,,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200284,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M4 ABOVE MUSKEG RIVER,AL07DD0004,57.12697222,-111.6024167,2013-01-22 18:05,WATER,EQUAL VOLUME TRANSECT COMPOSITE,,,0.004,,10.391,,0.69,,0.016,,,,,,,,0.082,,10.1,,,,0.231,,,,0.644,,,,0.045,,0.029,L,10,L,5,,0.291,,0.046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200285,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M4 ABOVE MUSKEG RIVER,AL07DD0004,57.12697222,-111.6024167,2013-01-22 18:07,WATER,EQUAL VOLUME TRANSECT COMPOSITE,,,0.003,,9.886,,0.657,,0.016,,,,,,,,0.081,,9.6,,,,0.219,,,,0.618,,,,0.043,,0.027,L,10,L,5,,0.286,,0.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200286,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M4 ABOVE MUSKEG RIVER,AL07DD0004,57.12697222,-111.6024167,2013-01-22 18:09,WATER,EQUAL VOLUME TRANSECT COMPOSITE,,,0.003,,9.699,,0.635,,0.014,,,,,,,,0.082,,9.4,,,,0.211,,,,0.596,,,,0.042,,0.028,L,10,L,5,,0.299,,0.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200287,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 5 OF 10,AL07DD0005,57.15680556,-111.6275,2013-01-23 11:56,WATER,TRIPLICATE SAMPLE,1.59,,0,,8.649,,0.622,,0.013,,,,,,,,0.068,,8.3,,,,0.196,,,,0.548,,,,0.039,,0.026,L,10,L,5,,0.349,,0.074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200288,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 9 OF 10,AL07DD0005,57.15747222,-111.6246944,2013-01-23 14:15,WATER,VERTICAL INTEGRATED,0.69,,0,,9.681,,0.603,,0.016,,,,,,,,0.071,,9.4,,,,0.183,,,,0.571,,,,0.042,,0.026,L,10,L,5,,0.281,,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200289,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 10 OF 10,AL07DD0005,57.15758333,-111.6239444,2013-01-23 14:30,WATER,VERTICAL INTEGRATED,1.57,,0,,10.62,,0.604,,0.014,,,,,,,,0.072,,10.4,,,,0.181,,,,0.572,,,,0.039,,0.025,L,10,L,5,,0.22,,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200290,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M5 ABOVE MACKAY RIVER,AL07DD0005,57.15680556,-111.6270528,2013-01-23 17:10,WATER,EQUAL VOLUME TRANSECT COMPOSITE,,,0.003,,10.896,,0.696,,0.015,,,,,,,,0.083,,10.6,,,,0.232,,,,0.652,,,,0.043,,0.028,L,10,L,5,,0.296,,0.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200291,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M5 ABOVE MACKAY RIVER,AL07DD0005,57.15680556,-111.6270528,2013-01-23 17:15,WATER,EQUAL VOLUME TRANSECT COMPOSITE,,,0.003,,10.666,,0.713,,0.016,,,,,,,,0.083,,10.2,,,,0.235,,,,0.665,,,,0.044,,0.028,L,10,L,5,,0.466,,0.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200292,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M5 ABOVE MACKAY RIVER,AL07DD0005,57.15680556,-111.6270528,2013-01-23 17:20,WATER,EQUAL VOLUME TRANSECT COMPOSITE,,,0.003,,10.265,,0.711,,0.016,,,,,,,,0.082,,9.9,,,,0.23,,,,0.644,,,,0.044,,0.028,L,10,L,5,,0.365,,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200293,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 5 OF 10,AL07DD0005,57.15680556,-111.6275,2013-01-23 12:01,WATER,TRIPLICATE SAMPLE,,,PM,,8.361,,0.58,,0.015,,,,,,,,0.07,,8.1,,,,0.192,,,,0.54,,,,0.041,,0.026,L,10,L,5,,0.261,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200294,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 5 OF 10,AL07DD0005,57.15680556,-111.6275,2013-01-23 12:06,WATER,TRIPLICATE SAMPLE,,,PM,,8.166,,0.588,,0.014,,,,,,,,0.068,,7.9,,,,0.192,,,,0.552,,,,0.04,,0.026,L,10,L,5,,0.266,,0.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200299,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 3 OF 10,AL07DD0004,57.12669444,-111.6035278,2013-02-12 12:00,WATER,VERTICAL INTEGRATED,3.3,,0,,7.649,,0.601,,0.015,,,,,,,,0.048,,7.4,,,,0.226,,,,0.577,,,,0.041,,0.026,,,L,5,,0.249,,0.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200300,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 9 OF 10,AL07DD0004,57.12761111,-111.6001389,2013-02-12 13:45,WATER,VERTICAL INTEGRATED,0.5,,0,,7.685,,0.552,,0.016,,,,,,,,0.048,,7.4,,,,0.205,,,,0.526,,,,0.043,,0.027,L,10,L,5,,0.285,,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200301,OIL SANDS LONGTERM WQ MONITORING,M4 LT WQ PANEL 10 OF 10,AL07DD0004,57.12763889,-111.6000278,2013-02-12 14:10,WATER,VERTICAL INTEGRATED,4.25,,0,,7.859,,0.557,,0.016,,,,,,,,0.049,,7.6,,,,0.198,,,,0.534,,,,0.043,,0.027,L,10,L,5,,0.259,,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200302,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M4 ABOVE MUSKEG RIVER,AL07DD0004,57.12697222,-111.6024167,2013-02-12 18:10,WATER,EQUAL VOLUME TRANSECT COMPOSITE,,,0.002,,8.144,,0.581,,0.017,,,,,,,,0.054,,7.8,,,,0.217,,,,0.552,,,,0.044,,0.027,L,10,,7.6,,0.344,,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200303,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M4 ABOVE MUSKEG RIVER,AL07DD0004,57.12697222,-111.6024167,2013-02-12 18:15,WATER,EQUAL VOLUME TRANSECT COMPOSITE,,,0.002,,8.03,,0.577,,0.016,,,,,,,,0.052,,7.7,,,,0.216,,,,0.548,,,,0.044,,0.028,L,10,,6.7,,0.33,,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200304,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M4 ABOVE MUSKEG RIVER,AL07DD0004,57.12697222,-111.6024167,2013-02-12 18:20,WATER,EQUAL VOLUME TRANSECT COMPOSITE,,,0.002,,7.665,,0.578,,0.016,,,,,,,,0.053,,7.3,,,,0.213,,,,0.546,,,,0.044,,0.028,L,10,,6.2,,0.365,,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200305,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 5 OF 10,AL07DD0005,57.15680556,-111.6275,2013-02-13 12:30,WATER,VERTICAL INTEGRATED,1.73,,0,,7.575,,0.55,,0.015,,,,,,,,0.045,,7.3,,,,0.203,,,,0.524,,,,0.042,,0.027,L,10,L,5,,0.275,,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200306,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 9 OF 10,AL07DD0005,57.15747222,-111.6246944,2013-02-13 13:25,WATER,VERTICAL INTEGRATED,0.63,,0,,8.116,,0.621,,0.014,,,,,,,,0.052,,7.9,,,,0.194,,,,0.599,,,,0.041,,0.027,L,10,L,5,,0.216,,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200307,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 10 OF 10,AL07DD0005,57.15758333,-111.6239444,2013-02-13 13:45,WATER,VERTICAL INTEGRATED,1.39,,0,,8.921,,0.578,,0.014,,,,,,,,0.056,,8.7,,,,0.189,,,,0.556,,,,0.039,,0.025,L,10,L,5,,0.221,,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200308,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M5 ABOVE MACKAY RIVER,AL07DD0005,57.15680556,-111.6270528,2013-02-13 14:00,WATER,EQUAL VOLUME TRANSECT COMPOSITE,,,0.002,,7.97,,0.558,,0.015,,,,,,,,0.05,,7.7,,,,0.205,,,,0.532,,,,0.041,,0.026,L,10,L,5,,0.27,,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200309,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M5 ABOVE MACKAY RIVER,AL07DD0005,57.15680556,-111.6270528,2013-02-13 14:05,WATER,EQUAL VOLUME TRANSECT COMPOSITE,,,PM,,8.037,,0.57,,0.013,,,,,,,,0.049,,7.8,,,,0.205,,,,0.548,,,,0.04,,0.027,,IS,L,5,,0.237,,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200310,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M5 ABOVE MACKAY RIVER,AL07DD0005,57.15680556,-111.6270528,2013-02-13 14:10,WATER,EQUAL VOLUME TRANSECT COMPOSITE,,,0.002,,7.946,,0.557,,0.013,,,,,,,,0.049,,7.7,,,,0.206,,,,0.535,,,,0.04,,0.027,,,L,5,,0.246,,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200311,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2013-02-06 10:35,WATER,VERTICAL INTEGRATED,2.05,,0,,7.22,,0.584,,0.007,,,,,,,,0.052,,7,,,,0.234,,,,0.567,,,,0.029,,0.022,L,10,L,5,,0.22,,0.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200312,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 2 OF 10,AL07DD0008,56.83851,-111.41779,2013-02-06 11:30,WATER,VERTICAL INTEGRATED,1.54,,0,,7.348,,0.517,,0.007,,,,,,,,0.062,,7.1,,,,0.21,,,,0.498,,,,0.028,,0.021,L,10,L,5,,0.248,,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200313,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 3 OF 10,AL07DD0008,56.83849,-111.41702,2013-02-06 12:10,WATER,VERTICAL INTEGRATED,0.79,,0,,7.87,,0.54,,0.028,,,,,,,,0.052,,7.2,,,,0.206,,,,0.478,,,,0.05,,0.022,,13,,18,,0.67,,0.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200314,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 4 OF 10,AL07DD0008,56.83861,-111.41628,2013-02-06 12:23,WATER,VERTICAL INTEGRATED,0.95,,0,,7.508,,0.56,,0.02,,,,,,,,0.046,,7.1,,,,0.207,,,,0.502,,,,0.042,,0.022,L,10,,11,,0.408,,0.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200315,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 5 OF 10,AL07DD0008,56.8388,-111.41548,2013-02-06 12:37,WATER,VERTICAL INTEGRATED,0.99,,0,,7.548,,0.526,,0.012,,,,,,,,0.054,,7.3,,,,0.206,,,,0.509,,,,0.036,,0.024,L,10,L,5,,0.248,,0.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
